wsam1,cmfs1,ammc
wsam1,cmif2,ammc
wsam1,cmft3,ammc
wsam1,cmch4,ammc
wsam1,cmsh5,ammc
wsam1,cmts6,ammc
wsam1,cmct7,ammc
wsam1,cwfs1,amwc
wsam1,cwtp2,amwc
wsam1,cwft3,amwc
wsam1,cwsk4,amwc
wsam1,cwts5,amwc
wsam1,cwct6,amwc
wsam1,cwsh7,amwc
wsam1,cwdr8,amwc
wsam1,cfwus1,amfw
wsam1,cfmf1,amfw
wsam1,cfwf2,amfw
wsam1,cfwl3,amfw
wsam1,cfss4,amfw
wsam1,cfff5,amfw
wsam1,cfws6,amfw
wsam1,chso1,amhh
wsam1,chsh2,amhh
wsam1,chsk3,amhh
wsam1,chpe4,amhh
wsam1,chpo5,amhh
wsam1,cgph1,amga
wsam1,cgtv2,amga
wsam1,cgtb3,amga
wsam1,cglt4,amga
wsam1,cgrf5,amga
wsam1,cgmw6,amga
wsfk2,cmfs1,flmc
wsfk2,cmif2,flmc
wsfk2,cmft3,flmc
wsfk2,cmch4,flmc
wsfk2,cmsh5,flmc
wsfk2,cmts6,flmc
wsfk2,cmct7,flmc
wsfk2,cwfs1,flwc
wsfk2,cwtp2,flwc
wsfk2,cwft3,flwc
wsfk2,cwsk4,flwc
wsfk2,cwts5,flwc
wsfk2,cwct6,flwc
wsfk2,cwsh7,flwc
wsfk2,cwdr8,flwc
wsfk2,cfwus1,flfw
wsfk2,cfmf1,flfw
wsfk2,cfwf2,flfw
wsfk2,cfwl3,flfw
wsfk2,cfss4,flfw
wsfk2,cfff5,flfw
wsfk2,cfws6,flfw
wsfk2,chso1,flhh
wsfk2,chsh2,flhh
wsfk2,chsk3,flhh
wsfk2,chpe4,flhh
wsfk2,chpo5,flhh
wsfk2,cgph1,flga
wsfk2,cgtv2,flga
wsfk2,cgtb3,flga
wsfk2,cglt4,flga
wsfk2,cgrf5,flga
wsfk2,cgmw6,flga
wssd3,cmfs1,sdmc
wssd3,cmif2,sdmc
wssd3,cmft3,sdmc
wssd3,cmch4,sdmc
wssd3,cmsh5,sdmc
wssd3,cmts6,sdmc
wssd3,cmct7,sdmc
wssd3,cwfs1,sdwc
wssd3,cwtp2,sdwc
wssd3,cwft3,sdwc
wssd3,cwsk4,sdwc
wssd3,cwts5,sdwc
wssd3,cwct6,sdwc
wssd3,cwsh7,sdwc
wssd3,cwdr8,sdwc
wssd3,cfwus1,sdfw
wssd3,cfmf1,sdfw
wssd3,cfwf2,sdfw
wssd3,cfwl3,sdfw
wssd3,cfss4,sdfw
wssd3,cfff5,sdfw
wssd3,cfws6,sdfw
wssd3,chso1,sdhh
wssd3,chsh2,sdhh
wssd3,chsk3,sdhh
wssd3,chpe4,sdhh
wssd3,chpo5,sdhh
wssd3,cgph1,sdga
wssd3,cgtv2,sdga
wssd3,cgtb3,sdga
wssd3,cglt4,sdga
wssd3,cgrf5,sdga
wssd3,cgmw6,sdga
wseb4,cmfs1,ebmc
wseb4,cmif2,ebmc
wseb4,cmft3,ebmc
wseb4,cmch4,ebmc
wseb4,cmsh5,ebmc
wseb4,cmts6,ebmc
wseb4,cmct7,ebmc
wseb4,cwfs1,ebwc
wseb4,cwtp2,ebwc
wseb4,cwft3,ebwc
wseb4,cwsk4,ebwc
wseb4,cwts5,ebwc
wseb4,cwct6,ebwc
wseb4,cwsh7,ebwc
wseb4,cwdr8,ebwc
wseb4,cfwus1,ebfw
wseb4,cfmf1,ebfw
wseb4,cfwf2,ebfw
wseb4,cfwl3,ebfw
wseb4,cfss4,ebfw
wseb4,cfff5,ebfw
wseb4,cfws6,ebfw
wseb4,chso1,ebhh
wseb4,chsh2,ebhh
wseb4,chsk3,ebhh
wseb4,chpe4,ebhh
wseb4,chpo5,ebhh
wseb4,cgph1,ebga
wseb4,cgtv2,ebga
wseb4,cgtb3,ebga
wseb4,cglt4,ebga
wseb4,cgrf5,ebga
wseb4,cgmw6,ebga
wsal5,cmfs1,almc
wsal5,cmif2,almc
wsal5,cmft3,almc
wsal5,cmch4,almc
wsal5,cmsh5,almc
wsal5,cmts6,almc
wsal5,cmct7,almc
wsal5,cwfs1,alwc
wsal5,cwtp2,alwc
wsal5,cwft3,alwc
wsal5,cwsk4,alwc
wsal5,cwts5,alwc
wsal5,cwct6,alwc
wsal5,cwsh7,alwc
wsal5,cwdr8,alwc
wsal5,cfwus1,alfw
wsal5,cfmf1,alfw
wsal5,cfwf2,alfw
wsal5,cfwl3,alfw
wsal5,cfss4,alfw
wsal5,cfff5,alfw
wsal5,cfws6,alfw
wsal5,chso1,alhh
wsal5,chsh2,alhh
wsal5,chsk3,alhh
wsal5,chpe4,alhh
wsal5,chpo5,alhh
wsal5,cgph1,alga
wsal5,cgtv2,alga
wsal5,cgtb3,alga
wsal5,cglt4,alga
wsal5,cgrf5,alga
wsal5,cgmw6,alga
